the May 4th spirit,五四精神,1
China's Youth Day,五四青年节,1
the UN Security Council,联合国安理会,1
the New Era,新时代,1
the CPC / the Communist Party of China / the party,中国共产党,1
Chinese socialism / socialism with Chinese characteristics,中国特色社会主义,1
"confidence in the path, theory, system and culture",四个自信,1
national rejuvenation,民族复兴,1
the Two Centenary Goals,“两个一百年”奋斗目标,1
the spirit of the May 4th Movement,五四精神,1
great ideals,远大理想,1
ideals and beliefs,理想信念,1
reform and opening up,改革开放,1
professional expertise,专业技能,1
attainment in humanities,人文素养,1
moral appreciation,道德认知,1
moral development,道德养成,1
moral practice,道德实践,1
the core socialist values,社会主义核心价值观,1
models of the times,时代楷模,1
"recoginze illustrious virtue, follow social ethics, and restrict personal desires.",明大德，守公德、严私德,1
worship of money,拜金主义,1
self-indulgence,享乐主义,1
overly self-centered pursuits,极端个人主义,1
historical nihilism,历史虚无主义,1
absolute poverty,绝对贫困,2
the Five-Sphere Integrated Plan,“五位一体”总体布局,2
the 18th CPC National Congress / the 18th National Congress of the CPC,18大,2
modern socialist country,社会主义现代化国家,2
"prosperous, strong, democratic, culturally advanced, harmonious, and beautiful",富强、民主、文明、和谐、美丽,2
Four-Pronged Comprehensive Strategy,“四个全面”战略布局,2
socialist market economy,社会主义市场经济,2
the primary stage of socialism,社会主义初级阶段,2
socialist modernization,社会主义现代化,2
capitalism,资本主义,2
the Warring States Period,战国时期,2
productive forces,生产力,2
extensive growth model,粗放式增长模式,2
codes of conduct,行为准则,2
middle income,中等收入,3
per capita income,人均收入,3
industrial chain,工业链,3
resource allocation,资源配置,3
productive forces,生产力,3
moderate prosperity,小康,3
intellectual property,知识产权,3
materialistic dialectics,唯物辩证法,3
comparative edges,相对优势,3
shared prosperity,共同富裕,3
equalitarianism,平均主义,3
protectionism,保护主义,3
great harmony,大同,3
secondary distribution,二次分配,3
transfer payments,转移支付,3
division of labor,劳动分工,3
means of production,生产资料,3
income distribution,收入分配,3
top-level design,顶层设计,3
Gross Domestic Product / GDP,国内生产总值,3
core socialist values,社会主义核心价值观,3
the primary stage of socialism,社会主义初级阶段,3
whole-process People's democracy,全过程人民民主,4
UN General Assembly,联合国大会,4
National People's Congress/NPC,全国人民代表大会,4
political system,政治制度,4
political civilization,政治文明,4
historical heritage,历史传承,4
patriotic United Front,爱国主义统一战线,4
socialist consultative democracy,社会主义协商民主,4
public opinion,民意,4
multilevel system for scrutiny,多层次监督体系,4
the people's democratic dictatorship,人民民主专政,4
alliance of workers and farmers,工农联盟,4
political consultation,政治协商,4
social productivity,社会生产力,4
socialist modernization,社会主义现代化,4
economic strength,经济实力,4
overall national strength,综合实力,4
living standard / standard of living,生活水平,4
progress of legal system,法治建设,4
the Third Plenary Session of the 18th CPC Central Committee,十八届三中全会,4
the socialist system with Chinese characteristics,中国特色社会主义制度,4
governance system,治理体系,4
governance capacity,治理能力量,4
law-based governance,依法执政,4
regional ethnic autonomy,民族区域自治（制度）,4
democratic centralism,民主集中制,4
law-based governance,依法治国,5
the CPC Central Committee,中国共产党中央委员会,5
legal awareness,法律意识,5
constitution-based governance,依宪治国,5
the national Constitution Day,国家宪法日,5
administrative approval,行政审批,5
negative list,负面清单,5
executive power,行政权力,5
judicial accountability,司法责任制,5
personal quota systems,员额制,5
criminal litigation system,刑事诉讼制度,5
the system of reeducation through labor,劳教制度,5
the national education system,国民教育体系,5
the national supervision system,国家监察体制,5
exercise full and strict governance over our Party,全面从严治党,5
social equity and justice,社会公平与正义,5
law-based exercise of state power,依法执政,5
law-based government administration,依法行政,5
law-based country,法治国家,5
law-based government,法治政府,5
law-based society,法治社会,5
state organs,国家机关,5
code of conduct,行为准则,5
law enforcement,执法,5
sound lawmaking,立法,5
impartial administration of justice,公正司法,5
the observance of law by all,全民守法,5
legislative system,立法体制,5
judicial organs,司法机关,5
the rule of virtue,德治,5
